date,open,high,low,close,average,volume,count
20211229,45.55,45.55,42.71,44.3,44.027,64851,27404
20211230,44.51,49.63,44.01,48.52,48.133,97923,37813
20211231,48.25,51.14,47.5,50.58,50.163,86830,34024
20220103,51.65,52.3,48.05,50.28,49.744,96802,37155
20220104,50.4,50.5,46.07,47.6,47.507,87614,33456
20220105,46.98,47.97,45.58,45.6,46.8,88530,37118
20220106,46.0,47.56,44.82,46.86,46.493,59792,22626
20220107,46.79,48.01,44.18,45.0,45.829,88350,36521
20220110,44.95,45.24,40.43,42.6,41.834,108216,49968
20220111,43.0,45.86,42.07,45.67,44.872,63676,27393
20220112,46.62,48.48,46.36,48.1,47.689,103913,41515
20220113,47.25,49.3,46.81,47.02,48.392,101485,35686
20220114,47.6,49.72,46.8,49.56,48.862,102959,40697
20220118,48.9,49.25,47.15,47.15,47.977,62317,25102
20220119,47.1,47.87,43.68,44.35,44.951,81786,35472
20220120,45.1,47.1,44.21,44.3,45.631,73826,30046
20220121,44.4,44.9,41.45,41.59,42.568,79982,32657
20220124,41.5,42.3,36.59,39.78,38.381,126559,54682
20220125,39.1,39.83,37.43,38.4,38.377,72062,29903
20220126,38.8,39.87,36.77,37.69,38.361,82465,32225
20220127,36.7,37.6,32.5,32.89,34.131,151512,63458
20220128,32.6,32.87,30.38,32.43,31.365,127640,54927
20220131,32.45,35.5,32.15,35.5,34.337,108447,45332
20220201,35.75,36.93,34.27,36.53,35.977,105864,40040
20220202,36.7,37.29,34.53,34.6,35.714,59135,25253
20220203,34.61,36.66,34.4,35.58,35.404,62273,26033
20220204,36.0,37.74,34.71,37.31,36.916,89803,39723
20220207,37.19,38.18,36.11,37.13,37.188,57309,20056
20220208,36.65,37.49,35.56,37.43,36.673,70384,28336
20220209,38.5,41.33,38.28,40.41,40.198,138319,56903
20220210,40.23,40.39,38.5,38.5,39.379,76305,31128
20220211,38.48,39.49,36.61,37.25,37.866,69007,28157
20220214,36.97,38.03,36.1,37.4,37.23,58749,24678
20220215,37.99,40.09,37.72,39.34,39.183,61950,26895
20220216,39.99,39.99,38.41,39.09,39.045,51471,20162
20220217,39.3,40.86,38.57,39.32,39.875,70350,27679
20220218,39.2,40.06,37.39,37.65,38.195,69730,32570
20220222,36.44,37.37,34.07,35.32,35.189,99238,43228
20220223,35.64,36.14,33.6,33.6,34.553,92417,41713
20220224,33.0,34.91,30.88,34.91,32.963,100038,39314
20220225,34.69,35.85,33.36,35.0,34.452,71628,28087
20220228,34.2,36.52,34.0,36.1,35.864,82316,31600
20220301,36.09,36.38,33.62,34.0,34.446,91343,41903
20220302,34.3,34.98,33.4,34.64,34.187,82080,35926
20220303,34.09,34.78,30.6,30.6,31.512,148616,71305
20220304,30.5,31.49,29.35,29.7,30.005,93518,42382
20220307,29.0,29.95,26.8,27.05,28.225,175138,69008
20220308,26.5,27.06,25.44,26.0,26.176,163351,66370
20220309,26.75,29.19,26.32,28.82,28.477,107080,48262
20220310,28.01,28.18,25.33,26.03,26.079,127348,56752
20220311,26.26,27.2,22.62,22.93,23.623,220157,91039
20220314,22.5,22.93,18.01,19.4,20.224,282624,114493
20220315,18.56,21.9,18.2,21.3,20.661,210397,90185
20220316,24.5,28.4,22.33,28.36,26.317,288588,109490
20220317,26.4,27.89,23.8,24.63,24.783,206756,80064
20220318,25.81,29.64,24.62,28.87,28.11,251302,85797
20220321,27.54,28.79,26.45,27.38,27.399,125659,50079
20220322,27.69,29.28,26.93,28.55,28.671,127397,47812
20220323,29.01,30.24,27.82,29.24,29.148,128431,45877
20220324,28.65,29.65,27.4,29.0,28.57,106984,42724
20220325,27.61,28.32,26.45,27.02,27.073,125349,48458
20220328,26.62,29.0,26.08,27.0,27.018,163530,54002
20220329,27.03,28.57,26.68,28.13,27.966,119428,46888
20220330,28.92,30.95,28.12,28.12,29.546,170476,58000
20220331,28.8,28.9,27.2,27.79,27.692,78462,31503
20220401,28.31,30.25,28.06,29.28,29.195,128754,44528
20220404,31.0,31.56,29.94,31.39,31.026,126483,49142
20220405,31.61,31.85,29.25,29.51,29.9,92081,35813
20220406,29.0,30.1,27.54,28.93,28.474,77279,31232
20220407,29.32,29.5,27.12,28.2,28.043,80807,29914
20220408,28.35,28.59,26.93,27.28,27.453,55344,21422
20220411,25.9,26.99,24.75,26.25,26.229,87198,36712
20220412,26.64,27.57,25.0,25.74,26.125,84172,34844
20220413,26.2,27.95,25.8,27.6,27.226,78252,32375
20220414,27.69,27.9,26.79,26.94,27.151,48629,19953
20220418,26.6,26.78,25.6,26.66,26.133,56230,21753
20220419,26.62,27.4,25.49,26.95,26.85,51986,20507
20220420,26.54,27.36,24.81,25.34,25.294,87209,33748
20220421,25.25,25.83,23.52,23.65,24.242,84356,34213
20220422,24.39,25.47,23.6,23.95,24.5,67687,26103
20220425,22.8,24.63,22.5,24.17,23.927,73819,33199
20220426,24.17,24.48,22.39,22.75,23.164,77294,29497
20220427,23.62,25.11,23.01,24.35,24.162,91476,34045
20220428,24.35,24.78,22.47,23.65,23.5,75821,29083
20220429,24.5,26.23,24.5,25.04,25.167,94347,33329
20220502,25.21,25.72,24.0,25.45,24.964,65714,24672
20220503,25.56,26.23,25.09,25.45,25.572,53556,17861
20220504,25.41,26.95,24.76,26.2,25.847,60215,26989
20220505,25.89,26.0,22.64,23.35,23.715,100883,41452
20220506,23.09,23.75,21.91,22.06,22.526,76402,32880
20220509,21.9,21.91,19.5,19.91,20.383,88134,38200
20220510,20.69,22.02,19.51,20.5,20.413,74688,27564
20220511,21.76,23.15,19.66,20.08,20.622,108546,50621
20220512,19.9,21.39,18.35,20.9,20.159,122810,54617
20220513,21.44,23.12,21.32,23.0,22.596,85982,39063
20220516,22.69,23.92,22.43,22.78,23.003,69791,31277
20220517,23.72,24.87,23.03,24.19,23.802,82297,34338
20220518,23.95,24.78,22.6,22.85,23.495,85362,32730
20220519,23.04,24.56,22.82,24.09,23.905,87003,43081
