date,open,high,low,close,average,volume,count
1629100800,45.06,45.06,45.06,45.06,45.06,1,1
1629101700,45.06,45.06,45.06,45.06,45.06,0,0
1629102600,45.06,45.06,45.06,45.06,45.06,0,0
1629103500,45.06,45.06,45.06,45.06,45.06,0,0
1629104400,45.06,45.06,45.06,45.06,45.06,0,0
1629105300,45.06,45.06,45.06,45.06,45.06,0,0
1629106200,45.06,45.06,45.06,45.06,45.06,0,0
1629107100,45.06,45.06,45.06,45.06,45.06,0,0
1629108000,45.06,45.06,45.06,45.06,45.06,0,0
1629108900,45.06,45.06,45.06,45.06,45.06,0,0
1629109800,45.06,45.06,45.06,45.06,45.06,0,0
1629110700,45.06,45.06,45.06,45.06,45.06,0,0
1629111600,45.06,45.06,45.06,45.06,45.06,0,0
1629112500,45.06,45.06,45.06,45.06,45.06,0,0
1629113400,45.06,45.06,45.06,45.06,45.06,0,0
1629114300,45.06,45.06,45.06,45.06,45.06,0,0
1629115200,45.06,45.06,45.06,45.06,45.06,0,0
1629116100,45.06,45.06,45.06,45.06,45.06,0,0
1629117000,45.06,45.06,45.06,45.06,45.06,0,0
1629117900,45.06,45.06,45.06,45.06,45.06,0,0
1629118800,45.06,45.06,45.06,45.06,45.06,0,0
1629119700,44.51,44.51,44.5,44.5,44.506,4,2
1629120600,44.28,44.5,43.62,43.7,44.023,926,404
1629121500,43.73,43.84,43.14,43.32,43.491,665,394
1629122400,43.33,43.75,43.06,43.16,43.423,889,364
1629123300,43.13,43.22,42.82,43.02,43.05,562,335
1629124200,43.0,43.43,42.96,43.29,43.218,285,217
1629125100,43.26,43.45,43.1,43.19,43.274,165,137
1629126000,43.24,43.36,43.21,43.3,43.267,162,150
1629126900,43.3,43.42,43.23,43.27,43.319,240,156
1629127800,43.28,43.28,42.95,43.12,43.114,132,114
1629128700,43.09,43.26,42.92,43.0,43.1,213,168
1629129600,42.99,43.02,42.61,42.69,42.828,877,317
1629130500,42.7,42.84,42.61,42.61,42.73,302,206
1629131400,42.66,42.81,42.56,42.81,42.678,234,145
1629132300,42.82,42.87,42.71,42.86,42.795,227,143
1629133200,42.87,42.89,42.71,42.76,42.784,500,243
1629134100,42.73,43.07,42.7,42.89,42.89,331,147
1629135000,42.92,43.28,42.92,43.28,43.039,364,107
1629135900,43.25,43.26,43.1,43.22,43.189,135,98
1629136800,43.21,43.58,43.2,43.5,43.383,646,301
1629137700,43.52,43.6,43.29,43.51,43.419,432,201
1629138600,43.45,43.56,43.36,43.43,43.451,426,170
1629139500,43.47,43.56,43.41,43.48,43.473,78,71
1629140400,43.51,43.56,43.36,43.39,43.435,126,112
1629141300,43.39,43.39,43.2,43.21,43.256,230,143
1629142200,43.21,43.22,43.05,43.16,43.123,312,231
1629143100,43.11,43.15,42.93,42.94,43.01,1091,721
1629144000,42.93,42.95,42.6,42.95,42.93,724,8
