date,open,high,low,close,average,volume,count
1628602200,9.88,9.89,9.85,9.85,9.862,200,22
1628602201,9.86,9.86,9.85,9.85,9.852,13,8
1628602202,9.86,9.88,9.83,9.83,9.843,60,28
1628602203,9.83,9.83,9.8,9.83,9.823,60,26
1628602204,9.83,9.83,9.8,9.8,9.828,25,6
1628602205,9.82,9.82,9.82,9.82,9.82,13,4
1628602206,9.8,9.83,9.8,9.8,9.815,36,22
1628602207,9.8,9.81,9.8,9.8,9.809,24,18
1628602208,9.8,9.81,9.8,9.8,9.809,16,7
1628602209,9.81,9.83,9.81,9.83,9.824,80,30
1628602210,9.83,9.85,9.82,9.85,9.829,91,32
1628602211,9.88,9.88,9.86,9.88,9.874,37,20
1628602212,9.88,9.88,9.86,9.88,9.874,30,16
1628602213,9.86,9.89,9.85,9.88,9.87,26,17
1628602214,9.88,9.89,9.85,9.87,9.877,18,12
1628602215,9.85,9.88,9.82,9.82,9.845,27,21
1628602216,9.83,9.85,9.8,9.81,9.827,89,35
1628602217,9.83,9.88,9.72,9.72,9.792,278,57
1628602218,9.72,9.78,9.71,9.71,9.731,26,19
1628602219,9.74,9.78,9.72,9.78,9.759,58,24
1628602220,9.77,9.8,9.75,9.76,9.777,27,19
1628602221,9.76,9.77,9.76,9.77,9.768,20,5
1628602222,9.77,9.8,9.77,9.77,9.783,41,23
1628602223,9.8,9.8,9.79,9.8,9.8,53,10
1628602224,9.8,9.89,9.79,9.89,9.804,50,16
1628602225,9.88,9.89,9.81,9.88,9.881,22,12
1628602226,9.88,9.9,9.86,9.9,9.884,98,30
1628602227,9.89,9.9,9.88,9.9,9.888,57,13
1628602228,9.91,9.91,9.9,9.9,9.904,55,15
1628602229,9.9,9.9,9.87,9.89,9.889,46,19
1628602230,9.89,9.89,9.88,9.89,9.889,23,11
1628602231,9.89,9.89,9.88,9.89,9.89,5,3
1628602232,9.87,9.87,9.86,9.86,9.866,4,3
