date,open,high,low,close,average,volume,count
1629293400,47.04,47.04,47.04,47.04,47.04,0,0
1629293401,47.01,47.01,47.0,47.0,47.005,2,2
1629293402,47.0,47.0,47.0,47.0,47.0,0,0
1629293403,47.3,47.3,47.3,47.3,47.3,1,1
1629293404,46.97,46.97,46.8,46.83,46.909,13,10
1629293405,46.83,46.83,46.83,46.83,46.83,0,0
1629293406,47.15,47.15,47.15,47.15,47.15,2,1
1629293407,47.15,47.15,47.15,47.15,47.15,0,0
1629293408,46.93,46.93,46.93,46.93,46.93,1,1
1629293409,46.93,46.93,46.93,46.93,46.93,0,0
1629293410,46.83,46.83,46.83,46.83,46.83,1,1
1629293411,46.72,46.72,46.72,46.72,46.72,1,1
1629293412,46.71,47.4,46.6,46.7,46.715,1080,46
1629293413,46.6,46.79,46.59,46.79,46.643,8,6
1629293414,46.92,47.0,46.84,46.85,46.924,5,3
1629293415,46.96,47.0,46.95,47.0,46.971,40,14
1629293416,47.0,47.0,47.0,47.0,47.0,4,4
1629293417,46.93,47.15,46.92,47.15,47.033,2,2
1629293418,47.15,47.15,47.14,47.15,47.15,0,0
1629293419,47.09,47.09,46.9,47.03,47.006,3,3
1629293420,47.14,47.15,46.99,47.03,47.096,10,6
1629293421,47.03,47.14,47.03,47.14,47.103,3,2
1629293422,47.07,47.15,47.07,47.15,47.134,5,3
1629293423,47.13,47.29,47.13,47.29,47.171,41,19
1629293424,47.15,47.45,47.15,47.45,47.329,14,6
1629293425,47.44,47.47,47.44,47.44,47.458,4,3
1629293426,47.5,47.64,47.35,47.51,47.499,165,26
1629293427,47.63,47.79,47.48,47.5,47.587,25,15
1629293428,47.6,47.64,47.54,47.59,47.615,11,6
1629293429,47.57,47.72,47.5,47.72,47.575,12,7
1629293430,47.59,47.6,47.59,47.59,47.595,4,4
1629293431,47.59,47.72,47.59,47.59,47.652,6,4
1629293432,47.78,47.78,47.77,47.78,47.78,1,1
1629293433,47.59,47.69,47.55,47.55,47.611,17,6
1629293434,47.68,47.69,47.52,47.69,47.594,7,4
1629293435,47.6,47.6,47.54,47.55,47.598,22,3
1629293436,47.54,47.67,47.54,47.67,47.583,3,3
1629293437,47.6,47.8,47.24,47.76,47.611,62,46
1629293438,47.8,47.87,47.65,47.68,47.765,6,4
1629293439,47.87,47.87,47.63,47.63,47.75,2,2
1629293440,47.64,47.87,47.4,47.46,47.604,71,34
1629293441,47.44,47.45,47.4,47.41,47.426,2,2
1629293442,47.34,47.34,47.34,47.34,47.34,1,1
1629293443,47.44,47.45,47.44,47.44,47.445,1,1
1629293444,47.33,47.33,47.32,47.33,47.325,2,2
1629293445,47.33,47.33,47.32,47.33,47.33,0,0
1629293446,47.33,47.33,47.32,47.33,47.33,0,0
1629293447,47.33,47.33,47.32,47.33,47.33,0,0
1629293448,47.34,47.34,47.34,47.34,47.34,1,1
1629293449,47.43,47.43,47.42,47.43,47.429,1,1
1629293450,47.18,47.3,47.18,47.3,47.2,19,7
1629293451,47.34,47.34,47.24,47.25,47.27,4,2
1629293452,47.25,47.5,47.25,47.5,47.422,28,18
1629293453,47.5,47.5,47.49,47.5,47.5,0,0
1629293454,47.33,47.33,47.32,47.33,47.325,1,1
1629293455,47.33,47.33,47.32,47.33,47.325,3,1
1629293456,47.5,47.5,47.24,47.38,47.357,5,5
1629293457,47.33,47.33,47.32,47.33,47.325,2,1
1629293458,47.5,47.5,47.46,47.46,47.485,8,3
1629293459,47.38,47.38,47.37,47.38,47.375,1,1
1629293460,47.48,47.5,47.47,47.5,47.495,18,9
1629293461,47.5,47.5,47.49,47.5,47.495,1,1
1629293462,47.62,47.69,47.6,47.69,47.623,29,12
1629293463,47.73,47.74,47.67,47.68,47.703,9,4
1629293464,47.67,47.75,47.5,47.7,47.656,17,8
1629293465,47.51,47.72,47.5,47.72,47.645,3,3
1629293466,47.41,47.42,47.41,47.41,47.41,1,1
1629293467,47.67,47.7,47.4,47.4,47.612,5,5
1629293468,47.58,47.71,47.57,47.7,47.597,6,2
1629293469,47.5,47.5,47.5,47.5,47.5,1,1
1629293470,47.74,47.75,47.73,47.75,47.743,12,6
1629293471,47.75,47.75,47.75,47.75,47.75,0,0
1629293472,47.75,47.75,47.75,47.75,47.75,0,0
1629293473,47.61,47.68,47.6,47.65,47.629,8,3
1629293474,47.5,47.5,47.5,47.5,47.5,2,1
1629293475,47.58,47.67,47.58,47.66,47.613,2,2
1629293476,47.66,47.67,47.66,47.66,47.66,0,0
1629293477,47.49,47.56,47.49,47.5,47.494,40,20
1629293478,47.49,47.59,47.1,47.1,47.315,245,50
1629293479,47.01,47.07,46.92,47.0,46.992,50,14
1629293480,47.0,47.07,46.99,47.03,47.014,13,11
1629293481,46.91,47.0,46.91,47.0,46.955,5,5
1629293482,46.91,46.92,46.91,46.91,46.914,15,1
1629293483,46.96,46.96,46.8,46.96,46.907,18,6
1629293484,46.8,46.8,46.66,46.66,46.753,3,3
1629293485,46.61,46.61,46.61,46.61,46.61,1,1
1629293486,46.72,46.99,46.71,46.99,46.821,28,5
1629293487,46.96,46.99,46.72,46.72,46.916,7,5
1629293488,46.84,47.1,46.84,47.1,46.992,20,19
1629293489,47.1,47.1,47.1,47.1,47.1,0,0
1629293490,46.97,46.97,46.96,46.97,46.965,2,2
1629293491,47.12,47.12,46.95,46.97,46.982,7,4
1629293492,46.97,46.97,46.96,46.97,46.97,0,0
1629293493,47.03,47.03,47.02,47.03,47.025,2,1
1629293494,47.03,47.03,47.02,47.03,47.03,0,0
1629293495,46.97,46.97,46.96,46.97,46.965,2,1
1629293496,47.07,47.07,47.01,47.02,47.027,12,2
1629293497,47.02,47.02,47.01,47.02,47.02,0,0
1629293498,47.07,47.16,47.0,47.0,47.085,18,9
1629293499,47.07,47.07,46.83,47.01,46.959,9,7
1629293500,47.16,47.16,47.16,47.16,47.16,1,1
1629293501,46.83,46.95,46.81,46.81,46.837,12,10
1629293502,47.0,47.0,46.97,46.97,46.997,10,2
1629293503,47.0,47.0,46.98,46.98,46.997,7,2
1629293504,46.82,46.91,46.8,46.9,46.83,27,14
1629293505,46.96,46.96,46.96,46.96,46.96,2,1
1629293506,46.96,46.96,46.96,46.96,46.96,0,0
1629293507,47.0,47.0,46.98,47.0,46.997,5,5
1629293508,46.9,47.0,46.9,46.95,46.98,28,22
1629293509,46.95,46.95,46.94,46.95,46.95,0,0
1629293510,46.95,46.95,46.94,46.95,46.95,0,0
1629293511,46.95,46.95,46.94,46.95,46.95,0,0
1629293512,46.98,47.0,46.87,46.92,46.973,12,7
1629293513,46.92,46.92,46.92,46.92,46.92,0,0
1629293514,46.92,46.92,46.92,46.92,46.92,0,0
1629293515,46.74,46.76,46.64,46.64,46.694,19,9
1629293516,46.87,46.92,46.76,46.92,46.889,19,7
1629293517,46.92,46.92,46.87,46.88,46.893,3,2
1629293518,46.88,46.88,46.87,46.88,46.88,0,0
1629293519,46.82,46.82,46.81,46.82,46.817,5,1
1629293520,46.82,46.82,46.81,46.82,46.82,0,0
1629293521,46.65,46.91,46.65,46.81,46.795,4,3
1629293522,46.81,46.81,46.81,46.81,46.81,0,0
1629293523,46.81,46.81,46.81,46.81,46.81,0,0
1629293524,46.85,46.89,46.81,46.89,46.864,5,4
1629293525,46.89,46.91,46.85,46.85,46.867,6,3
1629293526,46.9,46.9,46.89,46.9,46.895,1,1
1629293527,46.9,46.9,46.89,46.9,46.9,0,0
1629293528,46.77,46.99,46.77,46.99,46.868,13,6
1629293529,46.84,46.98,46.83,46.93,46.896,4,3
1629293530,46.84,46.98,46.84,46.96,46.899,7,5
1629293531,46.8,46.8,46.8,46.8,46.8,15,1
1629293532,46.95,46.95,46.95,46.95,46.95,1,1
1629293533,46.95,46.95,46.95,46.95,46.95,0,0
1629293534,46.95,46.95,46.95,46.95,46.95,0,0
1629293535,46.95,46.95,46.95,46.95,46.95,0,0
1629293536,46.87,46.87,46.87,46.87,46.87,1,1
1629293537,46.78,46.78,46.78,46.78,46.78,2,2
1629293538,46.86,46.86,46.81,46.81,46.848,4,2
1629293539,46.81,46.81,46.81,46.81,46.81,0,0
1629293540,46.8,46.8,46.8,46.8,46.8,3,1
1629293541,46.71,46.73,46.61,46.73,46.69,12,8
1629293542,46.73,46.73,46.72,46.73,46.73,0,0
1629293543,46.73,46.73,46.72,46.73,46.73,0,0
1629293544,46.73,46.73,46.72,46.73,46.73,0,0
1629293545,46.73,46.73,46.72,46.73,46.73,0,0
1629293546,46.64,46.64,46.63,46.64,46.638,5,1
1629293547,46.64,46.65,46.52,46.52,46.574,24,13
1629293548,46.69,46.69,46.54,46.62,46.617,3,3
1629293549,46.72,46.72,46.52,46.54,46.582,4,4
1629293550,46.63,46.64,46.62,46.62,46.628,3,2
1629293551,46.53,46.55,46.47,46.5,46.508,90,32
1629293552,46.5,46.59,46.5,46.59,46.53,21,14
1629293553,46.59,46.59,46.59,46.59,46.59,0,0
1629293554,46.5,46.5,46.5,46.5,46.5,18,6
1629293555,46.63,46.63,46.51,46.59,46.567,11,8
1629293556,46.55,46.56,46.55,46.55,46.554,2,1
1629293557,46.59,46.59,46.59,46.59,46.59,2,1
1629293558,46.59,46.59,46.59,46.59,46.59,25,1
1629293559,46.63,46.63,46.63,46.63,46.63,3,1
1629293560,46.63,46.63,46.63,46.63,46.63,0,0
1629293561,46.59,46.62,46.5,46.62,46.572,14,5
1629293562,46.62,46.62,46.62,46.62,46.62,0,0
1629293563,46.62,46.62,46.62,46.62,46.62,0,0
1629293564,46.62,46.62,46.62,46.62,46.62,0,0
1629293565,46.62,46.66,46.61,46.66,46.632,5,2
1629293566,46.68,46.68,46.63,46.63,46.663,3,2
1629293567,46.68,46.69,46.5,46.5,46.624,11,8
1629293568,46.62,46.79,46.5,46.79,46.718,8,4
1629293569,46.5,46.5,46.5,46.5,46.5,2,1
1629293570,46.55,46.81,46.55,46.8,46.739,13,8
1629293571,46.81,46.81,46.57,46.57,46.647,3,2
1629293572,46.57,46.57,46.57,46.57,46.57,0,0
1629293573,46.57,46.57,46.57,46.57,46.57,0,0
1629293574,46.57,46.57,46.57,46.57,46.57,0,0
1629293575,46.57,46.57,46.57,46.57,46.57,0,0
1629293576,46.9,46.9,46.9,46.9,46.9,5,1
1629293577,46.73,46.74,46.73,46.73,46.73,2,1
1629293578,46.73,46.74,46.73,46.73,46.73,0,0
1629293579,46.67,46.67,46.67,46.67,46.67,1,1
1629293580,46.67,46.67,46.67,46.67,46.67,0,0
1629293581,46.67,46.67,46.67,46.67,46.67,0,0
1629293582,46.67,46.67,46.67,46.67,46.67,0,0
1629293583,46.89,46.9,46.89,46.9,46.893,6,2
1629293584,46.8,46.89,46.8,46.89,46.862,3,2
1629293585,46.8,46.81,46.8,46.8,46.805,1,1
1629293586,46.8,46.81,46.8,46.8,46.8,0,0
1629293587,46.8,46.81,46.8,46.8,46.8,0,0
1629293588,46.88,46.89,46.88,46.88,46.883,10,1
1629293589,46.88,46.89,46.88,46.88,46.88,0,0
1629293590,46.88,46.89,46.88,46.88,46.88,0,0
1629293591,46.87,46.88,46.86,46.87,46.878,11,3
1629293592,46.88,46.95,46.83,46.95,46.915,19,7
1629293593,47.0,47.0,46.9,46.91,46.951,5,5
1629293594,46.98,47.08,46.9,47.03,47.021,35,13
1629293595,47.0,47.02,46.94,47.01,47.0,14,4
1629293596,47.01,47.03,47.01,47.03,47.019,2,2
1629293597,47.03,47.03,47.02,47.03,47.03,1,1
1629293598,46.94,46.94,46.94,46.94,46.94,1,1
